Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,680.000000,696.479980,607.500000,617.309998,617.309998,1435400
2021-02-01,620.340027,639.859985,586.049988,634.559998,634.559998,555500
2021-02-02,650.010010,691.280029,638.169983,687.919983,687.919983,534300
2021-02-03,701.640015,753.830017,695.989990,741.190002,741.190002,921200
2021-02-04,770.900024,771.229980,717.500000,765.590027,765.590027,636500
2021-02-05,771.179993,806.010010,745.020020,806.000000,806.000000,766700
2021-02-08,925.830017,1050.000000,890.010010,1041.000000,1041.000000,2099800
2021-02-09,1137.739990,1315.000000,1065.410034,1272.939941,1272.939941,2319700
2021-02-10,1196.010010,1199.000000,950.359985,974.479980,974.479980,2297300
2021-02-11,1137.199951,1139.920044,977.020020,1009.940002,1009.940002,1613200
2021-02-12,1015.590027,1044.890015,961.010010,1034.310059,1034.310059,767400
2021-02-16,1070.839966,1082.569946,954.229980,955.000000,955.000000,1501700
2021-02-17,939.500000,954.000000,878.000000,941.799988,941.799988,1815600
2021-02-18,926.900024,960.000000,902.059998,927.780029,927.780029,793200
2021-02-19,945.000000,1008.000000,914.590027,963.719971,963.719971,1153100
2021-02-22,871.000000,932.280029,865.000000,876.000000,876.000000,765900
2021-02-23,800.010010,801.580017,660.000000,691.229980,691.229980,1875500
2021-02-24,734.000000,822.150024,715.880005,817.690002,817.690002,1200500
2021-02-25,840.940002,845.000000,726.099976,731.609985,731.609985,784100
2021-02-26,687.119995,804.059998,681.140015,750.409973,750.409973,1178400
2021-03-01,798.400024,805.000000,758.880005,782.440002,782.440002,760800
2021-03-02,815.099976,817.489990,741.070007,748.500000,748.500000,644000
2021-03-03,781.780029,798.000000,727.809998,731.570007,731.570007,772100
2021-03-04,712.979980,737.989990,610.000000,645.659973,645.659973,1220600
2021-03-05,657.650024,663.000000,537.219971,620.239990,620.239990,1354800
2021-03-08,645.010010,669.460022,617.000000,624.190002,624.190002,672100
2021-03-09,686.570007,735.479980,681.750000,715.989990,715.989990,873600
2021-03-10,750.000000,759.030029,711.000000,756.549988,756.549988,643000
2021-03-11,775.000000,805.000000,761.130005,803.750000,803.750000,528500
2021-03-12,759.799988,810.000000,750.030029,784.000000,784.000000,467600
2021-03-15,788.330017,809.000000,763.669983,769.010010,769.010010,437500
2021-03-16,758.789978,770.000000,701.429993,724.289978,724.289978,415100
2021-03-17,702.229980,785.070007,698.270020,770.989990,770.989990,543200
2021-03-18,754.520020,808.989990,728.010010,732.049988,732.049988,619500
2021-03-19,749.530029,785.270020,714.539978,777.039978,777.039978,956500
2021-03-22,767.200012,775.000000,721.500000,724.559998,724.559998,498800
2021-03-23,716.809998,735.349976,670.010010,677.210022,677.210022,716900
2021-03-24,705.320007,710.500000,615.219971,621.570007,621.570007,706800
2021-03-25,580.700012,626.419983,566.000000,620.909973,620.909973,881600
2021-03-26,626.000000,642.299988,600.380005,624.000000,624.000000,524100
2021-03-29,658.859985,662.929993,627.229980,631.340027,631.340027,443100
2021-03-30,642.460022,666.799988,620.309998,653.979980,653.979980,562600
2021-03-31,647.609985,694.210022,641.380005,678.799988,678.799988,561500
2021-04-01,688.460022,725.830017,687.460022,703.559998,703.559998,402400
2021-04-05,709.750000,736.039978,693.289978,720.549988,720.549988,485900
2021-04-06,721.190002,721.190002,676.989990,704.580017,704.580017,593700
2021-04-07,678.000000,695.570007,652.000000,656.200012,656.200012,452200
2021-04-08,670.700012,702.710022,664.380005,690.119995,690.119995,436100
2021-04-09,709.989990,720.000000,689.460022,711.000000,711.000000,344700
2021-04-12,735.190002,745.940002,704.849976,718.239990,718.239990,481200
2021-04-13,745.000000,869.989990,734.789978,848.539978,848.539978,1702200
2021-04-14,880.979980,882.099976,730.000000,735.500000,735.500000,1582500
2021-04-15,753.169983,754.940002,709.000000,740.150024,740.150024,686300
2021-04-16,707.099976,720.000000,685.000000,693.619995,693.619995,762800
2021-04-19,650.039978,665.000000,623.500000,637.520020,637.520020,879900
2021-04-20,639.000000,648.000000,614.000000,646.450012,646.450012,552400
2021-04-21,628.400024,665.460022,628.400024,650.460022,650.460022,417900
2021-04-22,642.010010,650.500000,594.000000,598.200012,598.200012,715300
2021-04-23,575.890015,618.400024,569.000000,613.039978,613.039978,662100
2021-04-26,636.760010,659.799988,628.000000,658.820007,658.820007,479100
2021-04-27,673.000000,685.000000,655.000000,676.989990,676.989990,511300
2021-04-28,673.599976,689.000000,665.500000,680.820007,680.820007,297300
2021-04-29,665.000000,675.000000,637.909973,655.010010,655.010010,439700
2021-04-30,647.020020,675.000000,646.320007,657.159973,657.159973,559700
2021-05-03,673.969971,673.969971,634.390015,635.619995,635.619995,464500
2021-05-04,619.510010,628.000000,598.890015,616.880005,616.880005,514600
2021-05-05,630.000000,651.989990,608.900024,623.450012,623.450012,497500
2021-05-06,612.880005,622.770020,587.010010,609.080017,609.080017,355200
2021-05-07,608.969971,631.799988,608.330017,620.460022,620.460022,363400
2021-05-10,615.859985,615.859985,566.469971,569.460022,569.460022,522700
2021-05-11,535.000000,584.989990,525.280029,576.960022,576.960022,663000
2021-05-12,556.280029,577.799988,538.640015,541.880005,541.880005,421600
2021-05-13,511.200012,542.969971,478.070007,488.079987,488.079987,937400
2021-05-14,501.260010,523.619995,492.000000,521.309998,521.309998,561600
